,test_sample,verified,time,adv,true
81,est-11.npy,-6.839271577638299,0.383046196,7,1
82,est-11.npy,-3.5748266041872294,0.432082205,8,1
83,est-11.npy,-5.936211719677754,0.447216579,9,1
84,est-12.npy,-8.951176314264087,0.462478703,1,2
85,est-12.npy,-3.224425844701913,0.47039673,3,2
86,est-12.npy,-4.353543835643473,0.476519411,4,2
87,est-12.npy,-4.877624562790848,0.433984152,5,2
88,est-12.npy,-3.971166382806833,0.433761914,6,2
89,est-12.npy,-5.371558433824893,0.479727716,7,2
90,est-12.npy,-1.9735852298241552,0.450381958,8,2
91,est-12.npy,-6.058315771626013,0.460876896,9,2
92,est-13.npy,-6.199949128099817,0.42515664,1,5
93,est-13.npy,-5.002040382597402,0.446850667,2,5
94,est-13.npy,-4.337153094682924,0.428501029,3,5
95,est-13.npy,-6.891814077773132,0.401735163,4,5
96,est-13.npy,-3.5840323227808724,0.370256565,6,5
97,est-13.npy,-7.193519635266493,0.417017769,7,5
98,est-13.npy,-2.903509231556442,0.415043158,8,5
99,est-13.npy,-5.149975897591222,0.381229458,9,5
100,est-14.npy,-19.232995548204748,0.403038342,1,0
101,est-14.npy,-10.93944601795357,0.364260424,2,0
102,est-14.npy,-11.440826916906568,0.417780297,3,0
103,est-14.npy,-15.013783553854957,0.404576707,4,0
104,est-14.npy,-10.319130301554146,0.35966477,5,0
105,est-14.npy,-15.766194502149377,0.423458192,6,0
106,est-14.npy,-12.691785628031878,0.386692097,7,0
107,est-14.npy,-8.671271383542233,0.39255607,8,0
108,est-14.npy,-13.13779459860772,0.407700215,9,0
109,est-15.npy,-10.210294350042648,0.386262172,1,2
110,est-15.npy,-3.422688498281234,0.370711199,3,2
111,est-15.npy,-5.106801029530277,0.371247612,4,2
112,est-15.npy,-6.562579055492335,0.37620595,5,2
113,est-15.npy,-4.095462778897177,0.368706776,6,2
114,est-15.npy,-9.916851248642892,0.391889344,7,2
115,est-15.npy,-2.465337095673916,0.401043249,8,2
116,est-15.npy,-6.591096524078567,0.411278946,9,2
117,est-16.npy,-7.307879107773352,0.368578032,1,2
118,est-16.npy,-3.932563365849163,0.359301827,3,2
119,est-16.npy,-10.228308775806273,0.378643587,4,2
120,est-16.npy,-7.289479864919121,0.369436099,5,2
121,est-16.npy,-5.567043048485334,0.356954835,6,2
122,est-16.npy,-9.008932456829866,0.387962314,7,2
123,est-16.npy,-2.8882522751587407,0.401557123,8,2
124,est-16.npy,-8.968454223807454,0.404426988,9,2
125,est-17.npy,-17.988899674072613,0.377097504,1,0
126,est-17.npy,-5.7838286352263895,0.460177418,2,0
127,est-17.npy,-4.982558371154118,0.370390283,3,0
128,est-17.npy,-7.468697547504086,0.37150426,4,0
129,est-17.npy,-3.839177699630401,0.576262243,5,0
130,est-17.npy,-5.037045869225668,0.418873441,6,0
131,est-17.npy,-7.687848912624305,0.410507554,7,0
132,est-17.npy,-7.386344814923783,0.397045236,8,0
133,est-17.npy,-7.392379458159867,0.410693989,9,0
134,est-18.npy,-4.230189111347806,0.446976986,2,1
135,est-18.npy,-3.0626083255670054,0.419059706,3,1
136,est-18.npy,-4.164248552558269,0.414759803,4,1
137,est-18.npy,-2.488440552755581,0.460343417,5,1
138,est-18.npy,-5.395602984768645,0.425461352,6,1
139,est-18.npy,-3.868658795531034,0.439439983,7,1
140,est-18.npy,-3.9639957201603657,0.468607071,8,1
141,est-18.npy,-3.664314755710288,0.502324569,9,1
142,est-19.npy,-22.69329298733619,0.444317999,1,0
143,est-19.npy,-8.433151361099778,0.436134475,2,0
144,est-19.npy,-8.7471269450659,0.45432442,3,0
145,est-19.npy,-12.285709544411423,0.520628591,4,0
146,est-19.npy,-10.433469945133773,0.455485569,5,0
147,est-19.npy,-12.364700152491205,0.453698227,6,0
148,est-19.npy,-12.44029622158082,0.415794345,7,0
149,est-19.npy,-7.682400242776584,0.479501143,8,0
150,est-19.npy,-11.903140009477564,0.475842043,9,0
